rotation,row,col,cell,stagegrid,newtime
audience,1,0,1,"upstage, center",2439.124035
audience,1,0,1,"upstage, center",2455.604603
audience,1,0,1,"upstage, center",2472.085171
audience,1,0,1,"upstage, center",2488.565739
audience,1,0,1,"upstage, center",2505.046307
audience,1,0,1,"upstage, center",2521.526874
audience,1,0,1,"upstage, center",2538.007442
audience,1,0,1,"upstage, center",2554.48801
audience,1,0,1,"upstage, center",2570.968578
audience,1,0,1,"upstage, center",2587.449146
audience,1,0,1,"upstage, center",2603.929714
audience,1,0,1,"upstage, center",2620.410281
audience,1,0,1,"upstage, center",2636.890849
audience,1,0,1,"upstage, center",2653.371417
audience,1,0,1,"upstage, center",2669.851985
audience,1,0,1,"upstage, center",2686.332553
audience,1,0,1,"upstage, center",2702.81312
audience,1,0,1,"upstage, center",2719.293688
audience,1,0,1,"upstage, center",2735.774256
audience,1,0,1,"upstage, center",2752.254824
audience,1,0,1,"upstage, center",2768.735392
audience,1,0,1,"upstage, center",2785.215959
audience,1,0,1,"upstage, center",2801.696527
audience,1,0,1,"upstage, center",2818.177095
audience,1,0,1,"upstage, center",2834.657663
audience,1,0,1,"upstage, center",2851.138231
audience,1,0,1,"upstage, center",2867.618798
audience,1,0,1,"upstage, center",2884.099366
audience,1,0,1,"upstage, center",2900.579934
audience,1,0,1,"upstage, center",2917.060502
audience,1,0,1,"upstage, center",2933.54107
audience,1,0,1,"upstage, center",2950.021637
audience,1,0,1,"upstage, center",2966.502205
audience,1,0,1,"upstage, center",2982.982773
audience,1,0,1,"upstage, center",2999.463341
audience,1,0,1,"upstage, center",3015.943909
audience,1,0,1,"upstage, center",3032.424476
audience,1,0,1,"upstage, center",3048.905044
audience,1,0,1,"upstage, center",3065.385612
audience,1,0,1,"upstage, center",3081.86618
audience,1,0,1,"upstage, center",3098.346748
audience,1,0,1,"upstage, center",3114.827316
audience,1,0,1,"upstage, center",3131.307883
audience,1,0,1,"upstage, center",3147.788451
audience,1,0,1,"upstage, center",3164.269019
audience,1,0,1,"upstage, center",3180.749587
audience,1,0,1,"upstage, center",3197.230155
audience,1,0,1,"upstage, center",3213.710722
audience,1,0,1,"upstage, center",3230.19129
audience,1,0,1,"upstage, center",3246.671858
audience,1,0,1,"upstage, center",3263.152426
audience,1,0,1,"upstage, center",3279.632994
audience,1,0,1,"upstage, center",3296.113561
audience,1,0,1,"upstage, center",3312.594129
audience,1,0,1,"upstage, center",3329.074697
audience,1,0,1,"upstage, center",3345.555265
audience,1,0,1,"upstage, center",3362.035833
audience,1,0,1,"upstage, center",3378.5164
audience,1,0,1,"upstage, center",3394.996968
audience,1,0,1,"upstage, center",3411.477536
audience,1,0,1,"upstage, center",3427.958104
audience,1,0,1,"upstage, center",3444.438672
audience,1,0,1,"upstage, center",3460.919239
audience,1,0,1,"upstage, center",3477.399807
audience,1,0,1,"upstage, center",3493.880375
audience,1,0,1,"upstage, center",3510.360943
audience,1,0,1,"upstage, center",3526.841511
audience,1,0,1,"upstage, center",3543.322079
audience,1,0,1,"upstage, center",3559.802646
audience,1,0,1,"upstage, center",3576.283214
audience,1,0,1,"upstage, center",3592.763782
audience,1,0,1,"upstage, center",3609.24435
audience,1,0,1,"upstage, center",3625.724918
audience,1,0,1,"upstage, center",3642.205485
audience,1,0,1,"upstage, center",3658.686053
audience,1,0,1,"upstage, center",3675.166621
audience,1,0,1,"upstage, center",3691.647189
audience,1,0,1,"upstage, center",3708.127757
audience,1,0,1,"upstage, center",3725.63836
audience,1,0,1,"upstage, center",3741.088892
audience,1,0,1,"upstage, center",3757.56946
audience,1,0,1,"upstage, center",3775.080063
audience,1,0,1,"upstage, center",3790.530596
audience,1,0,1,"upstage, center",3807.011163
audience,1,0,1,"upstage, center",3823.491731
audience,1,0,1,"upstage, center",3839.972299
