rotation,row,col,cell,stagegrid,newtime
audience,1,-1,-1,offstage,0
stageleft,1,-1,-1,offstage,16
stageleft,1,-1,-1,offstage,32
stageleft,1,-1,-1,offstage,48
stageleft,1,-1,-1,offstage,64
stageleft,1,-1,-1,offstage,80
stageleft,1,-1,-1,offstage,96
stageleft,1,-1,-1,offstage,112
stageleft,1,-1,-1,offstage,128
stageleft,1,-1,-1,offstage,144
stageleft,1,-1,-1,offstage,160
stageleft,1,-1,-1,offstage,176
stageleft,1,-1,-1,offstage,192
stageleft,1,-1,-1,offstage,208
stageleft,1,-1,-1,offstage,224
stageleft,1,-1,-1,offstage,240
stageleft,1,-1,-1,offstage,256
stageleft,1,-1,-1,offstage,272
stageleft,1,-1,-1,offstage,288
stageleft,1,-1,-1,offstage,304
stageleft,1,-1,-1,offstage,321
stageleft,1,-1,-1,offstage,336
stageleft,1,-1,-1,offstage,352
stageleft,1,-1,-1,offstage,368
stageleft,1,-1,-1,offstage,384
stageleft,1,-1,-1,offstage,400
stageleft,1,-1,-1,offstage,416
stageleft,1,-1,-1,offstage,432
stageleft,1,-1,-1,offstage,448
stageleft,1,-1,-1,offstage,464
stageleft,1,-1,-1,offstage,480
stageleft,1,-1,-1,offstage,496
stageleft,1,-1,-1,offstage,512
stageleft,1,-1,-1,offstage,528
stageleft,1,-1,-1,offstage,544
stageleft,1,-1,-1,offstage,560
stageleft,1,-1,-1,offstage,576
stageleft,1,-1,-1,offstage,592
stageleft,1,-1,-1,offstage,608
stageleft,1,-1,-1,offstage,624
stageleft,1,-1,-1,offstage,640
stageleft,1,-1,-1,offstage,656
stageleft,1,-1,-1,offstage,672
stageleft,1,-1,-1,offstage,688
stageleft,1,-1,-1,offstage,704
stageleft,1,-1,-1,offstage,720
stageleft,1,-1,-1,offstage,736
stageleft,1,-1,-1,offstage,752
stageleft,1,-1,-1,offstage,768
stageleft,1,-1,-1,offstage,784
stageleft,1,-1,-1,offstage,800
stageleft,1,-1,-1,offstage,816
stageleft,1,-1,-1,offstage,832
stageleft,1,-1,-1,offstage,848
stageleft,1,-1,-1,offstage,864
stageleft,1,-1,-1,offstage,880
stageleft,1,-1,-1,offstage,896
stageleft,1,-1,-1,offstage,912
stageleft,1,-1,-1,offstage,928
stageleft,1,-1,-1,offstage,944
stageleft,1,-1,-1,offstage,960
stageleft,1,-1,-1,offstage,976
stageleft,1,-1,-1,offstage,992
stageleft,1,-1,-1,offstage,1008
stageleft,1,-1,-1,offstage,1024
stageleft,1,-1,-1,offstage,1040
stageleft,1,-1,-1,offstage,1056
stageleft,1,-1,-1,offstage,1072
stageleft,1,-1,-1,offstage,1088
stageleft,1,-1,-1,offstage,1104
stageleft,1,-1,-1,offstage,1120
stageleft,1,-1,-1,offstage,1136
stageleft,1,-1,-1,offstage,1152
stageleft,1,-1,-1,offstage,1168
stageleft,1,-1,-1,offstage,1184
stageleft,1,-1,-1,offstage,1200
stageleft,1,-1,-1,offstage,1216
stageleft,1,-1,-1,offstage,1232
stageleft,1,-1,-1,offstage,1248
stageleft,1,-1,-1,offstage,1264
stageleft,1,-1,-1,offstage,1280
stageleft,1,-1,-1,offstage,1296
stageleft,1,-1,-1,offstage,1312
stageleft,1,-1,-1,offstage,1328
stageleft,1,-1,-1,offstage,1344
stageleft,1,-1,-1,offstage,1360
stageleft,1,-1,-1,offstage,1376
stageleft,1,-1,-1,offstage,1392
stageleft,1,-1,-1,offstage,1408
stageleft,1,-1,-1,offstage,1424
stageleft,1,-1,-1,offstage,1440
stageleft,1,-1,-1,offstage,1456
stageleft,1,-1,-1,offstage,1472
stageleft,1,-1,-1,offstage,1488
stageleft,1,-1,-1,offstage,1504
stageleft,1,-1,-1,offstage,1520
stageleft,1,-1,-1,offstage,1536
stageleft,1,-1,-1,offstage,1552
stageleft,1,-1,-1,offstage,1568
stageleft,1,-1,-1,offstage,1584
stageleft,1,-1,-1,offstage,1600
stageleft,1,-1,-1,offstage,1616
stageleft,1,-1,-1,offstage,1632
stageleft,1,-1,-1,offstage,1648
audience,1,-1,-1,offstage,1664
audience,1,-1,-1,offstage,1680
audience,1,-1,-1,offstage,1696
audience,1,-1,-1,offstage,1712
audience,1,-1,-1,offstage,1728
audience,1,-1,-1,offstage,1744
audience,1,-1,-1,offstage,1760
audience,1,-1,-1,offstage,1776
audience,1,-1,-1,offstage,1792
audience,1,-1,-1,offstage,1808
audience,1,-1,-1,offstage,1824
audience,1,-1,-1,offstage,1840
audience,1,-1,-1,offstage,1856
audience,1,-1,-1,offstage,1872
audience,1,-1,-1,offstage,1888
audience,1,-1,-1,offstage,1904
audience,1,-1,-1,offstage,1920
audience,1,-1,-1,offstage,1936
audience,1,-1,-1,offstage,1952
audience,1,-1,-1,offstage,1968
audience,1,-1,-1,offstage,1984
audience,1,-1,-1,offstage,2000
audience,1,-1,-1,offstage,2016
audience,1,-1,-1,offstage,2032
audience,1,-1,-1,offstage,2048
audience,1,-1,-1,offstage,2064
audience,1,-1,-1,offstage,2080
audience,1,-1,-1,offstage,2096
audience,1,-1,-1,offstage,2112
audience,1,-1,-1,offstage,2128
audience,1,-1,-1,offstage,2144
audience,1,-1,-1,offstage,2160
audience,1,-1,-1,offstage,2176
audience,1,-1,-1,offstage,2192
audience,1,-1,-1,offstage,2208
audience,1,-1,-1,offstage,2224
audience,1,-1,-1,offstage,2240
audience,1,-1,-1,offstage,2256
audience,1,-1,-1,offstage,2272
audience,1,-1,-1,offstage,2288
audience,1,-1,-1,offstage,2304
audience,1,-1,-1,offstage,2320
audience,1,-1,-1,offstage,2336
audience,1,-1,-1,offstage,2352
audience,1,-1,-1,offstage,2368
audience,1,-1,-1,offstage,2386
audience,1,-1,-1,offstage,2400
audience,1,-1,-1,offstage,2416
audience,1,-1,-1,offstage,2432
audience,1,-1,-1,offstage,2448
audience,1,-1,-1,offstage,2464
audience,1,-1,-1,offstage,2480
audience,1,-1,-1,offstage,2496
audience,1,-1,-1,offstage,2512
audience,1,-1,-1,offstage,2528
audience,1,-1,-1,offstage,2544
audience,1,-1,-1,offstage,2560
audience,1,-1,-1,offstage,2576
audience,1,-1,-1,offstage,2592
audience,1,-1,-1,offstage,2608
audience,1,-1,-1,offstage,2624
audience,1,-1,-1,offstage,2640
audience,1,-1,-1,offstage,2656
audience,1,-1,-1,offstage,2672
audience,1,-1,-1,offstage,2688
audience,1,-1,-1,offstage,2704
audience,1,-1,-1,offstage,2720
audience,1,-1,-1,offstage,2736
audience,1,-1,-1,offstage,2752
audience,1,-1,-1,offstage,2768
audience,1,-1,-1,offstage,2784
audience,1,-1,-1,offstage,2800
audience,1,0,1,"upstage, center",2816
audience,1,0,1,"upstage, center",2832
audience,1,0,1,"upstage, center",2848
audience,1,0,1,"upstage, center",2864
audience,1,0,1,"upstage, center",2880
audience,1,0,1,"upstage, center",2896
audience,1,0,1,"upstage, center",2912
audience,1,0,1,"upstage, center",2928
audience,1,0,1,"upstage, center",2944
audience,1,0,1,"upstage, center",2960
audience,1,0,1,"upstage, center",2976
audience,1,0,1,"upstage, center",2992
audience,1,0,1,"upstage, center",3008
audience,1,0,1,"upstage, center",3024
audience,1,0,1,"upstage, center",3040
audience,1,0,1,"upstage, center",3056
audience,1,0,1,"upstage, center",3072
audience,1,0,1,"upstage, center",3088
audience,1,0,1,"upstage, center",3104
audience,1,0,1,"upstage, center",3120
audience,1,0,1,"upstage, center",3136
audience,1,0,1,"upstage, center",3152
audience,1,0,1,"upstage, center",3168
audience,1,0,1,"upstage, center",3184
audience,1,0,1,"upstage, center",3200
audience,1,0,1,"upstage, center",3216
audience,1,0,1,"upstage, center",3232
audience,1,0,1,"upstage, center",3248
audience,1,0,1,"upstage, center",3264
audience,1,0,1,"upstage, center",3280
audience,1,0,1,"upstage, center",3296
audience,1,0,1,"upstage, center",3312
audience,1,0,1,"upstage, center",3328
audience,1,0,1,"upstage, center",3344
audience,1,0,1,"upstage, center",3360
audience,1,0,1,"upstage, center",3376
audience,1,0,1,"upstage, center",3392
audience,1,0,1,"upstage, center",3408
audience,1,0,1,"upstage, center",3424
audience,1,0,1,"upstage, center",3440
audience,1,0,1,"upstage, center",3456
audience,1,0,1,"upstage, center",3472
audience,1,0,1,"upstage, center",3488
audience,1,0,1,"upstage, center",3504
audience,1,0,1,"upstage, center",3520
audience,1,0,1,"upstage, center",3536
audience,1,0,1,"upstage, center",3552
audience,1,0,1,"upstage, center",3568
audience,1,0,1,"upstage, center",3584
audience,1,0,1,"upstage, center",3600
audience,1,0,1,"upstage, center",3616
audience,1,0,1,"upstage, center",3632
audience,1,0,1,"upstage, center",3648
audience,1,0,1,"upstage, center",3664
audience,1,0,1,"upstage, center",3680
audience,1,0,1,"upstage, center",3696
audience,1,0,1,"upstage, center",3712
audience,1,0,1,"upstage, center",3728
audience,1,0,1,"upstage, center",3744
audience,1,0,1,"upstage, center",3760
audience,1,0,1,"upstage, center",3776
audience,1,0,1,"upstage, center",3792
audience,1,0,1,"upstage, center",3808
audience,1,0,1,"upstage, center",3824
audience,1,0,1,"upstage, center",3840
audience,1,0,1,"upstage, center",3856
audience,1,0,1,"upstage, center",3872
audience,1,0,1,"upstage, center",3888
audience,1,0,1,"upstage, center",3904
audience,1,0,1,"upstage, center",3920
audience,1,0,1,"upstage, center",3936
audience,1,0,1,"upstage, center",3952
audience,1,0,1,"upstage, center",3968
audience,1,0,1,"upstage, center",3984
audience,1,0,1,"upstage, center",4000
audience,1,0,1,"upstage, center",4016
audience,1,0,1,"upstage, center",4032
audience,1,0,1,"upstage, center",4048
audience,1,0,1,"upstage, center",4064
audience,1,0,1,"upstage, center",4080
audience,1,0,1,"upstage, center",4096
audience,1,0,1,"upstage, center",4112
audience,1,0,1,"upstage, center",4128
audience,1,0,1,"upstage, center",4144
audience,1,0,1,"upstage, center",4160
audience,1,0,1,"upstage, center",4176
audience,1,0,1,"upstage, center",4192
audience,1,0,1,"upstage, center",4208
audience,1,0,1,"upstage, center",4224
audience,1,0,1,"upstage, center",4240
audience,1,0,1,"upstage, center",4256
audience,1,0,1,"upstage, center",4272
audience,1,0,1,"upstage, center",4288
audience,1,0,1,"upstage, center",4304
audience,1,0,1,"upstage, center",4320
audience,1,0,1,"upstage, center",4336
audience,1,0,1,"upstage, center",4352
audience,1,0,1,"upstage, center",4368
audience,1,0,1,"upstage, center",4384
audience,1,0,1,"upstage, center",4400
audience,1,0,1,"upstage, center",4416
audience,1,0,1,"upstage, center",4432
audience,1,0,1,"upstage, center",4448
audience,1,0,1,"upstage, center",4464
audience,1,0,1,"upstage, center",4480
audience,1,0,1,"upstage, center",4496
audience,1,0,1,"upstage, center",4514
audience,1,0,1,"upstage, center",4528
audience,1,0,1,"upstage, center",4544
audience,1,0,1,"upstage, center",4560
audience,1,0,1,"upstage, center",4576
audience,1,0,1,"upstage, center",4592
audience,1,0,1,"upstage, center",4608
audience,1,0,1,"upstage, center",4624
audience,1,0,1,"upstage, center",4640
audience,1,0,1,"upstage, center",4656
audience,1,0,1,"upstage, center",4672
